region,show_name,session_counts
yorkshire and the humber,600_bottles_of_wine,113
yorkshire and the humber,64_zoo_lane,69
yorkshire and the humber,a_question_of_sport,13
yorkshire and the humber,a_very_english_scandal,393
yorkshire and the humber,afoot_again_in_the_past,7
yorkshire and the humber,africa,8
yorkshire and the humber,africa_a_journey_into_music,57
yorkshire and the humber,africa_s_great_civilisations,25
yorkshire and the humber,agnetha_abba_and_after,3
yorkshire and the humber,all_round_to_mrs_brown_s,224
yorkshire and the humber,all_round_to_mrs_browns,34
yorkshire and the humber,alphablocks,71
yorkshire and the humber,amazing_hotels_life_beyond_the_lobby,16
yorkshire and the humber,amazon_abyss,5
yorkshire and the humber,ambulance,133
yorkshire and the humber,andy_s_prehistoric_adventures,44
yorkshire and the humber,andy_s_safari_adventures,36
yorkshire and the humber,andys_prehistoric_adventures,9
yorkshire and the humber,animal_tv,58
yorkshire and the humber,antiques_road_trip,23
yorkshire and the humber,antiques_roadshow,102
yorkshire and the humber,antiquesroadshow,8
yorkshire and the humber,apple_tree_house,98
yorkshire and the humber,apple_tree_house_mini,103
yorkshire and the humber,architects_of_the_divine_the_first_gothic_age,5
yorkshire and the humber,arctic_monkeys_live_at_the_bbc,25
yorkshire and the humber,aristotle_s_lagoon,6
yorkshire and the humber,art_ninja,53
yorkshire and the humber,arthur,4
yorkshire and the humber,arts,8
yorkshire and the humber,astronauts_do_you_have_what_it_takes,12
yorkshire and the humber,athletics_iaaf_diamond_league,8
yorkshire and the humber,atlanta,525
yorkshire and the humber,audio_described,9
yorkshire and the humber,baby_jake,18
yorkshire and the humber,back_to_the_land_with_kate_humble,5
yorkshire and the humber,bargain_hunt,53
yorkshire and the humber,bbc_business_live,20
yorkshire and the humber,bbc_four,172
yorkshire and the humber,bbc_news,4
yorkshire and the humber,bbc_news24,1050
yorkshire and the humber,bbc_news_at_one,49
yorkshire and the humber,bbc_news_at_six,64
yorkshire and the humber,bbc_news_at_ten,23
yorkshire and the humber,bbc_one,4604
yorkshire and the humber,bbc_one_hd,276
yorkshire and the humber,bbc_one_london,42
yorkshire and the humber,bbc_one_yorks,29
yorkshire and the humber,bbc_parliament,51
yorkshire and the humber,bbc_stories,62
yorkshire and the humber,bbc_two,1061
yorkshire and the humber,bbc_two_england,114
yorkshire and the humber,bbc_wales_investigates,3
yorkshire and the humber,bbc_wales_today,7
yorkshire and the humber,bbc_weekend_news,33
yorkshire and the humber,beauty_blowout,6
yorkshire and the humber,before_grenfell_a_hidden_history,71
yorkshire and the humber,being_human,55
yorkshire and the humber,beta,14
yorkshire and the humber,beyond_100_days,37
yorkshire and the humber,beyond_the_asylum,19
yorkshire and the humber,big_sky_big_dreams_big_art_made_in_the_usa,42
yorkshire and the humber,biggest_weekend,151
yorkshire and the humber,biggleton,18
yorkshire and the humber,bikes,4
yorkshire and the humber,bing,5373
yorkshire and the humber,bitz_bob,823
yorkshire and the humber,black_and_british_a_forgotten_history,20
yorkshire and the humber,blue_peter,40
yorkshire and the humber,blue_peter_bite,16
yorkshire and the humber,boj,100
yorkshire and the humber,border_lives,10
yorkshire and the humber,breakfast,229
yorkshire and the humber,brideshead_revisited,25
yorkshire and the humber,britain_celebrates_live_100_years_of_women_s_votes,16
yorkshire and the humber,britain_celebrates_live_100_years_of_womens_votes,1
yorkshire and the humber,britain_in_bloom,3
yorkshire and the humber,britain_s_best_home_cook,617
yorkshire and the humber,britain_s_fat_fight_with_hugh_fearnley_whittingstall,2
yorkshire and the humber,britain_s_forgotten_men,12
yorkshire and the humber,britain_s_secret_charity_cheats,25
yorkshire and the humber,britain_s_treasure_islands,28
yorkshire and the humber,britains_best_home_cook,38
yorkshire and the humber,britains_forgotten_men,16
yorkshire and the humber,britains_secret_charity_cheats,5
